property_address,status
2835 CLAY ST,"Work Complete, CFC Issued"
3454 17TH ST,"Work Complete, CFC Issued"
2755 WEBSTER ST,"Work Complete, CFC Issued"
2850 VAN NESS AV,Non-Compliant
51 SYCAMORE ST,"Permit Submitted, CFC Required by 9/15/20"
1325 HYDE ST,"Work Complete, CFC Issued"
1540 GREENWICH ST,"Work Complete, CFC Issued"
3006 GOUGH ST,"Work Complete, CFC Issued"
434 CHESTNUT ST,"Work Complete, CFC Issued"
1633 WASHINTON ST,"Permit Submitted, CFC Required by 9/15/20"
5 DANVERS ST,"Work Complete, CFC Issued"
1001 FELL ST,Non-Compliant
60 28TH ST,"Work Complete, CFC Issued"
205 07TH AV,"Work Complete, CFC Issued"
455 WARREN DR,"Work Complete, CFC Issued"
241 10TH AVE,"Work Complete, CFC Issued"
291 PARKER AV,Non-Compliant
250 DORLAND ST,"Work Complete, CFC Issued"
1575 05TH AV,Non-Compliant
1910 PAGE ST,"Work Complete, CFC Issued"
3618 22ND ST,"Work Complete, CFC Issued"
244 GRATTAN ST,"Work Complete, CFC Issued"
2101 HAYES ST,"Permit Submitted, CFC Required by 9/15/20"
405 33RD AV,"Work Complete, CFC Issued"
3040 JACKSON ST,"Work Complete, CFC Issued"
823 FELL ST,Non-Compliant
1900 CABRILLO ST,"Work Complete, CFC Issued"
3688 20TH ST,"Permit Submitted, CFC Required by 9/15/20"
1235 HYDE ST,"Work Complete, CFC Issued"
3322 16TH ST,"Work Complete, CFC Issued"
1445 OAK ST,"Work Complete, CFC Issued"
1910 FULTON ST,"Work Complete, CFC Issued"
1232 06TH AV,"Work Complete, CFC Issued"
305 FRANKLIN ST,"Work Complete, CFC Issued"
1795 CHESTNUT ST,"Work Complete, CFC Issued"
1332 CALIFORNIA ST,"Work Complete, CFC Issued"
268 COLERIDGE ST,"Work Complete, CFC Issued"
1241 08TH AV,"Work Complete, CFC Issued"
1147 DOLORES ST,"Work Complete, CFC Issued"
1567 JACKSON ST,"Work Complete, CFC Issued"
4260 MISSION ST,Non-Compliant
25 GLENDALE ST,"Work Complete, CFC Issued"
600 34TH AV,"Work Complete, CFC Issued"
10 CORWIN ST,"Work Complete, CFC Issued"
2430 LAKE ST,"Work Complete, CFC Issued"
1865 CALIFORNIA ST,"Work Complete, CFC Issued"
1732 PAGE ST,"Work Complete, CFC Issued"
1227 MASONIC AV,"Work Complete, CFC Issued"
2436 JONES ST,"Work Complete, CFC Issued"
3450 MARKET ST,"Work Complete, CFC Issued"
3682 18TH ST,"Work Complete, CFC Issued"
2390 FRANCISCO ST,"Permit Submitted, CFC Required by 9/15/20"
1755 PINE ST,Non-Compliant
1270 GROVE ST,Non-Compliant
3000 PINE ST,Non-Compliant
335 VALLEJO ST,Non-Compliant
2426 BUCHANAN ST,Non-Compliant
3775 FILLMORE ST,"Permit Submitted, CFC Required by 9/15/20"
4248 20TH ST,"Work Complete, CFC Issued"
1830 BEACH ST,"Work Complete, CFC Issued"
75 FRESNO ST,Non-Compliant
566 FELL ST,"Work Complete, CFC Issued"
1165 CHURCH ST,"Work Complete, No CFC Issued yet"
2700 UNION ST,"Work Complete, CFC Issued"
1196 BROADWAY,"Work Complete, CFC Issued"
319 02ND AV,"Work Complete, CFC Issued"
670 08TH AV,"Work Complete, CFC Issued"
303 FREDERICK ST,Non-Compliant
1929 STOCKTON ST,"Work Complete, CFC Issued"
700 CENTRAL AV,Non-Compliant
307 GUERRERO ST,"Work Complete, CFC Issued"
1440 WASHINGTON ST,"Work Complete, CFC Issued"
1990 FILBET ST,"Work Complete, CFC Issued"
3436 PIERCE ST,"Work Complete, CFC Issued"
1025 SOUTH VAN NESS AV,"Work Complete, CFC Issued"
1747 MCALLISTER ST,"Work Complete, CFC Issued"
2745 MISSION ST,"Permit Submitted, CFC Required by 9/15/20"
5010 CALIFORNIA ST,"Work Complete, CFC Issued"
83 FAIR OAKS ST,"Work Complete, CFC Issued"
221 SAN JOSE AV,"Permit Submitted, CFC Required by 9/15/20"
1605 WASHINGTON ST,"Work Complete, CFC Issued"
3425 SCOTT ST,"Work Complete, CFC Issued"
1158 MONTGOMERY ST,"Work Complete, CFC Issued"
277 CLINTON PK,"Work Complete, CFC Issued"
5082A DIAMOND HEIGHTS BL,"Work Complete, CFC Issued"
3001 SACRAMENTO ST,"Work Complete, CFC Issued"
305 10TH AV,"Work Complete, CFC Issued"
375 14TH ST,"Work Complete, CFC Issued"
2337 MARKET ST,"Work Complete, CFC Issued"
1585 05TH AV,Non-Compliant
506 GROVE ST,"Work Complete, CFC Issued"
2642 VAN NESS AV,"Work Complete, CFC Issued"
100 02ND AV,"Work Complete, CFC Issued"
557 CAPP ST,Non-Compliant
625 GUERRERO ST,Non-Compliant
1074 UNION ST,Non-Compliant
1928 LEAVENWORTH ST,"Work Complete, CFC Issued"
2011 CLEMENT ST,"Work Complete, CFC Issued"
1805 PINE ST,"Work Complete, CFC Issued"
929 OAK ST,"Work Complete, CFC Issued"
2810 GOUGH ST,"Work Complete, CFC Issued"
2120 CALIFORNIA ST,Non-Compliant
633 CAPP ST,"Work Complete, CFC Issued"
690 34TH AV,"Work Complete, CFC Issued"
1201 12TH AV,"Work Complete, CFC Issued"
2448 15TH ST,"Work Complete, CFC Issued"
1127 HYDE ST,Non-Compliant
480 GREENWICH ST,"Work Complete, CFC Issued"
30 ORD CT,"Work Complete, CFC Issued"
423 WALLER ST,"Work Complete, CFC Issued"
235 CHURCH ST,"Permit Submitted, CFC Required by 9/15/20"
1375 GREEN ST,"Work Complete, CFC Issued"
2470 WASHINGTON ST,"Work Complete, CFC Issued"
1576 GREAT HY,Non-Compliant
524 30TH AV,"Work Complete, CFC Issued"
311 DIAMOND ST,Non-Compliant
3763 CESAR CHAVEZ ST,"Work Complete, CFC Issued"
1097 GREEN ST,"Work Complete, CFC Issued"
3315 STEINER ST,"Work Complete, CFC Issued"
1327 LEAVENWORTH ST,Non-Compliant
2772 JACKSON ST,"Work Complete, CFC Issued"
1671 LOMBARD ST,"Work Complete, CFC Issued"
2207 CABRILLO ST,"Work Complete, CFC Issued"
401 STEINER ST,"Work Complete, CFC Issued"
1114 PINE ST,"Work Complete, CFC Issued"
77 GRAND VIEW AV,"Work Complete, CFC Issued"
1432 SOUTH VAN NESS AV,"Work Complete, CFC Issued"
285 DIVISADERO ST,Non-Compliant
1335 11TH AV,"Work Complete, CFC Issued"
5625 MISSION ST,"Work Complete, CFC Issued"
376 21ST AV,"Work Complete, CFC Issued"
3099 WASHINGTON ST,Non-Compliant
2381 CHESTNUT ST,"Permit Submitted, CFC Required by 9/15/20"
3014 CLAY ST,"Work Complete, CFC Issued"
1020 UNION ST,"Permit Submitted, CFC Required by 9/15/20"
345 GREEN ST,Non-Compliant
2254 PINE ST,"Work Complete, CFC Issued"
817 CLEMENT ST,"Permit Submitted, CFC Required by 9/15/20"
508 OCTAVIA ST,"Permit Submitted, CFC Required by 9/15/20"
49 BEIDEMAN ST,"Work Complete, CFC Issued"
3337 OCTAVIA ST,"Work Complete, CFC Issued"
3555 BRODERICK ST,"Work Complete, CFC Issued"
2655 PINE ST,"Work Complete, CFC Issued"
1245 20TH AV,"Work Complete, CFC Issued"
3434 18TH ST,"Work Complete, CFC Issued"
483 22ND AV,"Work Complete, CFC Issued"
3279 CESAR CHAVEZ ST,"Work Complete, CFC Issued"
3375 22ND ST,Non-Compliant
335 EUCLID AV,"Work Complete, CFC Issued"
471 30TH ST,Non-Compliant
3557 20TH ST,"Work Complete, CFC Issued"
1257 09TH AV,"Work Complete, CFC Issued"
84 CARL ST,"Work Complete, CFC Issued"
2425 24TH ST,Non-Compliant
220 FAIR OAKS ST,"Work Complete, CFC Issued"
413 HAIGHT ST,"Permit Submitted, CFC Required by 9/15/20"
1340 WASHINGTON ST,Non-Compliant
957 OAK ST,Non-Compliant
1013 NOE ST,"Work Complete, CFC Issued"
1919 20TH ST,"Work Complete, CFC Issued"
500 LAGUNA ST,"Permit Submitted, CFC Required by 9/15/20"
1480 LARKIN ST,"Work Complete, CFC Issued"
66 CRESTLINE DR,"Work Complete, CFC Issued"
267 25TH AV,"Work Complete, CFC Issued"
700 BAKER ST,"Permit Submitted, CFC Required by 9/15/20"
191 05TH AV,"Permit Submitted, CFC Required by 9/15/20"
1046 14TH ST,"Work Complete, CFC Issued"
2275 JACKSON ST,Non-Compliant
140 DUBOCE AV,"Permit Submitted, CFC Required by 9/15/20"
70 MOSS ST,"Work Complete, CFC Issued"
2145 LARKIN ST,"Work Complete, CFC Issued"
1400 TARAVAL ST,"Permit Submitted, CFC Required by 9/15/20"
15 REUEL CT,"Work Complete, CFC Issued"
1275 CLAY ST,"Work Complete, CFC Issued"
411 15TH AV,"Work Complete, CFC Issued"
530 06TH AVE,"Work Complete, CFC Issued"
837 ARGUELLO BL,"Work Complete, CFC Issued"
3341 18TH ST,"Work Complete, CFC Issued"
2950 VAN NESS AVE,"Work Complete, CFC Issued"
750 COLUMBUS AV,"Work Complete, CFC Issued"
3024 FULTON ST,Non-Compliant
2300 22ND AV,Non-Compliant
60 PARKRIDGE DR,"Work Complete, CFC Issued"
778 SHOTWELL ST,"Work Complete, CFC Issued"
681 HAIGHT ST,"Work Complete, CFC Issued"
695 NOE ST,Non-Compliant
2401 SACRAMENTO ST,"Work Complete, CFC Issued"
3223 FOLSOM ST,Non-Compliant
1523 15TH ST,"Work Complete, CFC Issued"
1395 16TH AV,"Work Complete, CFC Issued"
3155 BRODERICK ST,Non-Compliant
1401 GROVE ST,"Work Complete, CFC Issued"
380 26TH AVE,"Work Complete, CFC Issued"
322 32ND AV,"Work Complete, CFC Issued"
1818 15TH ST,"Work Complete, CFC Issued"
217 JERSEY ST,"Work Complete, CFC Issued"
363 NOE ST,"Work Complete, CFC Issued"
862 14TH ST,"Work Complete, CFC Issued"
1401 GOUGH ST,"Work Complete, CFC Issued"
1345 20TH AV,Non-Compliant
2625 HARRISON ST,"Work Complete, CFC Issued"
10 LUPINE AV,"Work Complete, CFC Issued"
1395 UNION ST,"Permit Submitted, CFC Required by 9/15/20"
601 LAKE ST,"Work Complete, CFC Issued"
1630 SANCHEZ ST,"Work Complete, CFC Issued"
164 HERMANN ST,"Work Complete, CFC Issued"
1401 CHESTNUT  ST,"Work Complete, CFC Issued"
1323 12TH AV,Non-Compliant
1940 WASHINGTON ST,"Work Complete, CFC Issued"
3520 23RD ST,"Work Complete, CFC Issued"
3433 20TH ST,"Work Complete, CFC Issued"
448 BRODERICK ST,"Work Complete, CFC Issued"
644 NATOMA ST,"Work Complete, CFC Issued"
1859 VALLEJO ST,"Work Complete, CFC Issued"
1837 OAK ST,Non-Compliant
860 WALLER ST,"Work Complete, CFC Issued"
1795 HAIGHT ST,"Work Complete, CFC Issued"
1117 GUERRERO ST,"Work Complete, CFC Issued"
3130 BRODERICK ST,Non-Compliant
2975 VAN NESS AV,"Work Complete, CFC Issued"
2095 FULTON ST,"Work Complete, CFC Issued"
59 NOE ST,"Work Complete, CFC Issued"
2260 MARKET ST,"Permit Submitted, CFC Required by 9/15/20"
2954 21ST ST,Non-Compliant
1901 PACIFIC AV,Non-Compliant
465 BURNETT ST,"Work Complete, CFC Issued"
236 HUGO ST,"Work Complete, CFC Issued"
100 VARENNES ST,"Work Complete, CFC Issued"
2070 FELL ST,"Work Complete, CFC Issued"
110 BEULAH ST,Non-Compliant
827 CORBETT AV,"Work Complete, CFC Issued"
3939 20TH ST,"Work Complete, CFC Issued"
1126 TAYLOR ST,"Work Complete, CFC Issued"
905 CAPP ST,"Work Complete, CFC Issued"
855 BURNETT AV,"Work Complete, CFC Issued"
224 VALENCIA ST,"Permit Submitted, CFC Required by 9/15/20"
589 DOLORES ST,Non-Compliant
635 CLAYTON ST,"Work Complete, CFC Issued"
147 PAGE ST,"Work Complete, CFC Issued"
15 LILLIAN ST,"Work Complete, CFC Issued"
1690 GOLDEN GATE AV,"Work Complete, CFC Issued"
180 BLAKE ST,"Work Complete, CFC Issued"
670 BROADWAY,"Work Complete, CFC Issued"
1076 CAPP ST,Non-Compliant
1888 GOLDEN GATE AV,"Work Complete, CFC Issued"
4211 MORAGA ST,"Work Complete, CFC Issued"
974 PINE ST,"Work Complete, CFC Issued"
2016 TAYLOR ST,Non-Compliant
40 OSCEOLA LN,Non-Compliant
3856 19TH ST,"Work Complete, CFC Issued"
735 MASON ST,"Work Complete, CFC Issued"
2350 FILBERT ST,Non-Compliant
1726 PAGE ST,"Work Complete, CFC Issued"
556 SCOTT ST,Non-Compliant
4105 CALIFORNIA ST,Non-Compliant
1230 JACKSON ST,Non-Compliant
3350 16TH ST,Non-Compliant
3053 TURK BL,"Work Complete, CFC Issued"
4534 MISSION ST,"Work Complete, CFC Issued"
324 CONNECTICUT ST,"Work Complete, CFC Issued"
726 FILLMORE ST,"Work Complete, CFC Issued"
1680 GOLDEN GATE AV,"Work Complete, CFC Issued"
2562 POST ST,"Work Complete, CFC Issued"
139 HUGO ST,"Work Complete, CFC Issued"
1868 PAGE ST,"Work Complete, CFC Issued"
2011 FOLSOM ST,"Work Complete, CFC Issued"
1665 CHESTNUT ST,"Work Complete, CFC Issued"
108 ALBION ST,Non-Compliant
163 17TH AV,"Work Complete, CFC Issued"
52 PAGE ST,"Work Complete, CFC Issued"
875 BURNETT AV,"Work Complete, CFC Issued"
770 NATOMA ST,"Permit Submitted, CFC Required by 9/15/20"
412 BRODERICK ST,Non-Compliant
801 28TH AV,"Work Complete, CFC Issued"
10 10TH AV,"Work Complete, CFC Issued"
2395 35TH AV,"Work Complete, CFC Issued"
950 BAY ST,"Work Complete, CFC Issued"
35 PALM AV,Non-Compliant
1537 JONES ST,"Work Complete, CFC Issued"
795 CORBETT AV,"Permit Submitted, CFC Required by 9/15/20"
1575 FILBERT ST,Non-Compliant
1401 MASON ST,"Permit Submitted, CFC Required by 9/15/20"
3075 22ND ST,"Work Complete, CFC Issued"
1443 PAGE ST,"Work Complete, CFC Issued"
1420 GREEN ST,"Work Complete, CFC Issued"
2055 POWELL ST,"Work Complete, CFC Issued"
3010 OCTAVIA ST,"Work Complete, CFC Issued"
3601 23RD ST,Non-Compliant
2136 FELL ST,"Work Complete, CFC Issued"
4135 17TH ST,"Work Complete, CFC Issued"
1535 GREEN ST,"Work Complete, CFC Issued"
2728 SAN BRUNO AV,"Permit Submitted, CFC Required by 9/15/20"
235 BUCHANAN ST,"Work Complete, CFC Issued"
172 PARNASSUS AV,"Work Complete, CFC Issued"
1417 05TH AV,"Work Complete, CFC Issued"
2870 SACRAMENTO ST,"Work Complete, CFC Issued"
1574 CHURCH ST,"Work Complete, CFC Issued"
305 LINDEN ST,"Work Complete, CFC Issued"
1460 GOLDEN GATE AV,"Work Complete, CFC Issued"
425 WARREN DR,"Work Complete, CFC Issued"
3251 WASHINGTON ST,"Work Complete, CFC Issued"
450 MASONIC AV,"Work Complete, CFC Issued"
906 STANYAN ST,"Work Complete, CFC Issued"
306 BARTLETT ST,"Work Complete, CFC Issued"
642 CENTRAL AV,"Work Complete, CFC Issued"
2617 LAGUNA ST,"Work Complete, CFC Issued"
1012 MASONIC AV,"Work Complete, CFC Issued"
695 09TH AV,"Work Complete, CFC Issued"
326 PIERCE ST,Non-Compliant
6600 FULTON ST,"Work Complete, CFC Issued"
1421 MASONIC AV,"Work Complete, CFC Issued"
3666 20TH ST,"Work Complete, CFC Issued"
1985 FULTON ST,"Work Complete, CFC Issued"
2370 MISSION ST,"Permit Submitted, CFC Required by 9/15/20"
1000 ASHBURY ST,Non-Compliant
2635 MCALLISTER ST,"Work Complete, CFC Issued"
1200 JACKSON ST,"Work Complete, CFC Issued"
1555 GREENWICH ST,"Work Complete, CFC Issued"
320 06TH AV,Non-Compliant
740 PARNASSUS AV,"Work Complete, CFC Issued"
810 GREENWICH ST,"Permit Submitted, CFC Required by 9/15/20"
271 19TH AV,"Work Complete, CFC Issued"
95 GRAND VIEW AV,"Work Complete, CFC Issued"
536 WISCONSIN ST,"Work Complete, CFC Issued"
2160 MARKET ST,Non-Compliant
471 VALLEJO ST,"Work Complete, CFC Issued"
2315 MISSION ST,"Work Complete, CFC Issued"
487 DOLORES ST,"Work Complete, CFC Issued"
1393 GUERRERO ST,"Work Complete, CFC Issued"
486 FUNSTON AV,"Work Complete, CFC Issued"
161 HENRY ST,"Work Complete, CFC Issued"
685 48TH AV,Non-Compliant
2011 SACRAMENTO ST,Non-Compliant
1410 NORIEGA ST,"Work Complete, No CFC Issued yet"
2090 GREAT HY,"Work Complete, CFC Issued"
2886 FOLSOM ST,Non-Compliant
415 PIERCE ST,"Work Complete, CFC Issued"
579 CORBETT AV,"Work Complete, CFC Issued"
175 21ST AV,"Work Complete, CFC Issued"
3465 SACRAMENTO ST,"Work Complete, CFC Issued"
1441 JONES ST,"Work Complete, CFC Issued"
2255 LAKE ST,Non-Compliant
1 COLERIDGE ST,"Work Complete, CFC Issued"
319 27TH AV,Non-Compliant
75 HEATHER AVE,"Work Complete, CFC Issued"
1720 WASHINGTON ST,"Work Complete, CFC Issued"
600 33RD AV,"Work Complete, CFC Issued"
3590 SACRAMENTO ST,"Work Complete, CFC Issued"
2240 LARKIN ST,"Work Complete, CFC Issued"
1175 WASHINGTON ST,"Work Complete, CFC Issued"
65 LUPINE AV,"Work Complete, CFC Issued"
2130 JACKSON ST,"Work Complete, CFC Issued"
3233 SCOTT ST,"Work Complete, CFC Issued"
445 HUGO ST,"Work Complete, CFC Issued"
3356 16TH ST,"Work Complete, CFC Issued"
1308 PACIFIC AV,"Work Complete, CFC Issued"
230 CENTRAL AV,"Work Complete, CFC Issued"
609 BURNETT AV,"Work Complete, CFC Issued"
301 PARNASSUS AV,Non-Compliant
1828 HYDE ST,Non-Compliant
1601 GRANT AV,Non-Compliant
1143 BAY ST,"Work Complete, CFC Issued"
455 SANCHEZ ST,"Work Complete, CFC Issued"
324 EL CAMINO DEL MAR,"Work Complete, CFC Issued"
78 PARKER AV,"Permit Submitted, CFC Required by 9/15/20"
824 CORBETT AV,Non-Compliant
2136 CALIFORNIA ST,"Work Complete, CFC Issued"
3330 BRODERICK ST,"Work Complete, CFC Issued"
355 OCTAVIA ST,"Work Complete, CFC Issued"
477 25TH AV,"Work Complete, CFC Issued"
2727 POLK ST,"Work Complete, CFC Issued"
595 22ND AV,"Work Complete, CFC Issued"
2810 26TH ST,"Work Complete, CFC Issued"
1451 LARKIN ST,Non-Compliant
2360 CHESTNUT ST,"Work Complete, CFC Issued"
675 25TH AV,"Work Complete, CFC Issued"
1492 09TH AV,"Permit Submitted, CFC Required by 9/15/20"
1450 CASTRO ST,"Work Complete, CFC Issued"
2400 GEARY BL,"Work Complete, CFC Issued"
2401 23RD AV,"Work Complete, CFC Issued"
1675 FULTON ST,Non-Compliant
1560 TURK ST,Non-Compliant
930 TAYLOR ST,Non-Compliant
2425 FILLMORE ST,"Permit Submitted, CFC Required by 9/15/20"
647 26TH AV,Non-Compliant
2755 FRANKLIN ST,"Work Complete, CFC Issued"
3090 VICENTE ST,"Work Complete, CFC Issued"
1472 GROVE ST,"Permit Submitted, CFC Required by 9/15/20"
495 38TH AV,"Work Complete, CFC Issued"
5947 GEARY BL,"Work Complete, CFC Issued"
268 02ND AV,"Work Complete, CFC Issued"
270 27TH AV,"Permit Submitted, CFC Required by 9/15/20"
120 ALBION ST,"Work Complete, CFC Issued"
1301 40TH AV,"Work Complete, CFC Issued"
1955 LEAVENWORTH ST,"Work Complete, CFC Issued"
1142 MASON ST,Non-Compliant
350 LAGUNA ST,"Work Complete, CFC Issued"
1570 05TH AV,Non-Compliant
160 SAN CARLOS ST,"Permit Submitted, CFC Required by 9/15/20"
720 BAKER ST,"Work Complete, CFC Issued"
1445 EDDY ST,"Work Complete, CFC Issued"
4901 MISSION ST,"Permit Submitted, CFC Required by 9/15/20"
1955 BEACH ST,"Work Complete, CFC Issued"
330 TARAVAL ST,"Work Complete, CFC Issued"
1015 LINCOLN WY,"Work Complete, CFC Issued"
2936 ANZA ST,"Work Complete, CFC Issued"
2936 22ND ST,"Work Complete, CFC Issued"
2650 FRANKLIN ST,"Work Complete, CFC Issued"
33 MCCOPPIN ST,"Work Complete, CFC Issued"
590 VALENCIA ST,"Work Complete, CFC Issued"
1276 JACKSON ST,"Work Complete, CFC Issued"
37 JOHN ST,Non-Compliant
7201 GEARY BL,"Work Complete, CFC Issued"
5016 DIAMOND HEIGHTS BL,Non-Compliant
1658 UNION ST,"Work Complete, CFC Issued"
901 GREENWICH ST,"Work Complete, CFC Issued"
2309 DIVISADERO ST,"Work Complete, CFC Issued"
3445 PIERCE ST,"Work Complete, CFC Issued"
349 PIERCE ST,"Permit Submitted, CFC Required by 9/15/20"
1541 LARKIN ST,"Work Complete, CFC Issued"
1511 09TH AV,"Work Complete, CFC Issued"
2426 BRYANT ST,Non-Compliant
1743 GOLDEN GATE AV,Non-Compliant
1025 STEINER ST,"Work Complete, CFC Issued"
288 27TH ST,"Permit Submitted, CFC Required by 9/15/20"
80 WALTER ST,Non-Compliant
1974 HAYES ST,Non-Compliant
39 ALBION ST,"Work Complete, CFC Issued"
1351 CALIFORNIA ST,"Work Complete, CFC Issued"
2729 LOMBARD ST,"Work Complete, CFC Issued"
282 CASTRO ST,"Work Complete, CFC Issued"
611 GUERRERO ST,"Work Complete, CFC Issued"
370 18TH AV,"Work Complete, CFC Issued"
2505 JUDAH ST,"Work Complete, CFC Issued"
1300 12TH AV,"Permit Submitted, CFC Required by 9/15/20"
1427 HAIGHT ST,"Work Complete, CFC Issued"
3436 CLAY ST,Non-Compliant
2960 DIVISADERO ST,"Work Complete, CFC Issued"
7100 GEARY BL,"Work Complete, CFC Issued"
424 FRANCISCO ST,"Work Complete, CFC Issued"
426 BROADWAY,"Work Complete, CFC Issued"
1730 VALLEJO ST,"Work Complete, CFC Issued"
3 WINDSOR PL,"Work Complete, CFC Issued"
2 ITALY AV,"Work Complete, CFC Issued"
2502 03RD ST,"Work Complete, CFC Issued"
2162 PINE ST,"Work Complete, CFC Issued"
309 05TH AV,"Work Complete, CFC Issued"
1254 10TH AV,Non-Compliant
138 DOWNEY ST,"Work Complete, CFC Issued"
1701 POLK ST,"Work Complete, CFC Issued"
1159 CLAY ST,Non-Compliant
239 26TH AV,"Work Complete, CFC Issued"
725 GROVE ST,Non-Compliant
3334 SAN BRUNO AV,Non-Compliant
575 COLUMBUS AV,"Work Complete, CFC Issued"
1420 JACKSON ST,"Work Complete, CFC Issued"
751 WALLER ST,"Work Complete, CFC Issued"
818 STANYAN ST,"Work Complete, CFC Issued"
2345 CABRILLO ST,"Work Complete, CFC Issued"
400 ANZA ST,"Work Complete, CFC Issued"
1239 GENEVA AV,"Work Complete, CFC Issued"
1350 33RD AV,"Work Complete, CFC Issued"
914 BRODERICK ST,Non-Compliant
909 PAGE ST,"Work Complete, CFC Issued"
1249 18TH AV,"Work Complete, CFC Issued"
140 PAGE ST,"Permit Submitted, CFC Required by 9/15/20"
999 BROADWAY,"Work Complete, CFC Issued"
1200 MASON ST,"Permit Submitted, CFC Required by 9/15/20"
40 ALTA ST,Non-Compliant
1305 LYON ST,"Work Complete, CFC Issued"
425 FILLMORE ST,"Work Complete, CFC Issued"
1441 MONTGOMERY ST,Non-Compliant
3030 TURK ST,"Work Complete, CFC Issued"
45 SOUTH PARK,"Work Complete, CFC Issued"
10 CARL ST,"Work Complete, CFC Issued"
3256 21ST ST,"Work Complete, CFC Issued"
2226 DIVISADERO ST,Non-Compliant
1141 MONTGOMERY ST,"Work Complete, CFC Issued"
655 HAIGHT ST,"Work Complete, CFC Issued"
3620 FILLMORE ST,"Work Complete, CFC Issued"
1841 POWELL ST,"Work Complete, No CFC Issued yet"
1415 LEAVENWORTH ST,Non-Compliant
574 HICKORY ST,"Work Complete, CFC Issued"
1255 10TH AV,"Work Complete, CFC Issued"
3201 WASHINGTON ST,"Work Complete, CFC Issued"
2032 POLK ST,"Permit Submitted, CFC Required by 9/15/20"
1322 SACRAMENTO ST,"Work Complete, CFC Issued"
2034 SCOTT ST,"Work Complete, CFC Issued"
629 GUERRERO ST,"Work Complete, CFC Issued"
220 16TH AV,"Work Complete, CFC Issued"
2051 SCOTT ST,"Work Complete, CFC Issued"
144 CLINTON PK,"Work Complete, CFC Issued"
3800 SCOTT ST,"Permit Submitted, CFC Required by 9/15/20"
3147 SACRAMENTO ST,"Work Complete, CFC Issued"
2534 POLK ST,"Work Complete, CFC Issued"
1220 CHESTNUT ST,"Work Complete, CFC Issued"
524 27TH ST,"Work Complete, CFC Issued"
1939 MISSION ST,"Permit Submitted, CFC Required by 9/15/20"
1615 JONES ST,Non-Compliant
840 CALIFORNIA ST,"Work Complete, CFC Issued"
2 CHURCH ST,Non-Compliant
784 DOLORES ST,"Work Complete, CFC Issued"
659 VALENCIA ST,Non-Compliant
1715 BROADWAY,"Work Complete, CFC Issued"
3800 MISSION ST,"Work Complete, CFC Issued"
2843 WEBSTER ST,"Work Complete, CFC Issued"
51 MCCOPPIN ST,Non-Compliant
1950 SACRAMENTO ST,Non-Compliant
1531 CLAY ST,"Work Complete, CFC Issued"
625 DIVISADERO ST,"Work Complete, CFC Issued"
576 VALENCIA ST,"Permit Submitted, CFC Required by 9/15/20"
1447 WASHINGTON ST,Non-Compliant
325 26TH AV,"Work Complete, CFC Issued"
4155 CESAR CHAVEZ ST,Non-Compliant
1560 LA PLAYA,"Work Complete, CFC Issued"
1335 UNION ST,"Work Complete, CFC Issued"
4232 JUDAH ST,"Permit Submitted, CFC Required by 9/15/20"
225 07TH AV,"Permit Submitted, CFC Required by 9/15/20"
3140 21ST ST,"Work Complete, CFC Issued"
2220 TURK BL,Non-Compliant
3986 24TH ST,"Permit Submitted, CFC Required by 9/15/20"
2395 43RD AV,"Work Complete, CFC Issued"
2230 PACIFIC AV,Non-Compliant
116 MORELAND ST,"Work Complete, CFC Issued"
464 43RD AV,Non-Compliant
890 32ND AV,"Work Complete, CFC Issued"
1960 CLAY ST,"Work Complete, CFC Issued"
517 GREEN ST,"Permit Submitted, CFC Required by 9/15/20"
2101 CALIFORNIA ST,"Work Complete, CFC Issued"
1364 GROVE ST,"Work Complete, CFC Issued"
569 ARGUELLO ST,"Work Complete, CFC Issued"
2435 UNION ST,"Work Complete, CFC Issued"
4408 03RD ST,Non-Compliant
106 FAIR OAK ST,"Work Complete, CFC Issued"
238 12TH AV,"Work Complete, CFC Issued"
721 ASHBURY ST,"Work Complete, CFC Issued"
1926 ANZA ST,Non-Compliant
2913 22ND ST,"Work Complete, CFC Issued"
545 BRODERICK ST,Non-Compliant
3030 FULTON ST,"Work Complete, CFC Issued"
129 JULIAN AV,"Work Complete, CFC Issued"
4118 24TH ST,Non-Compliant
816 ASHBURY ST,Non-Compliant
690 ALVARADO ST,"Work Complete, CFC Issued"
169 12TH AVE,"Work Complete, CFC Issued"
6815 GEARY BL,"Work Complete, CFC Issued"
714 VALENCIA ST,"Permit Submitted, CFC Required by 9/15/20"
1532 LARKIN ST,Non-Compliant
1541 OAK ST,Non-Compliant
3674 16TH ST,"Work Complete, CFC Issued"
1614 POWELL ST,"Permit Submitted, CFC Required by 9/15/20"
835 TREAT AV,"Work Complete, CFC Issued"
1295 GUERRERO ST,Non-Compliant
26 SALMON ST,"Work Complete, CFC Issued"
860 OAK ST,Non-Compliant
1325 PAGE ST,"Work Complete, CFC Issued"
766 UNION ST,"Work Complete, CFC Issued"
3059 PINE ST,"Work Complete, CFC Issued"
1334 WILLARD ST,"Work Complete, CFC Issued"
1436 WALLER ST,Non-Compliant
6445 GEARY BL,Non-Compliant
65 WOODWARD ST,"Work Complete, CFC Issued"
325 MAPLE ST,"Work Complete, CFC Issued"
1208 COLE ST,"Work Complete, CFC Issued"
